MtgCode,Track,MtgType,State,NoRaces,NoRunners,AdjRun,FavWin,Day,OtherWin,10Win,20Win,40Win,90Win,20Plus,10Run,20Run,40Run,90Run,OtherRun
15-Jul-17 Moe,Moe,Country,VIC,10,112,11,1,7,6,2,0,1,0,1,29,18,13,3,39
15-Jul-17 Rosehill,Rosehill,Metro,NSW,9,104,10.5,1,7,4,2,2,0,0,2,37,17,11,4,26
15-Jul-17 Caulfield,Caulfield,Metro,VIC,9,103,10.5,3,7,5,0,1,0,0,1,26,26,12,7,23
15-Jul-17 Newcastle,Newcastle,Provincial,NSW,8,66,6.5,1,7,4,3,0,0,0,0,17,7,8,5,21
15-Jul-17 Gold Coast,Gold Coast,Metro,QLD,8,89,9,3,7,3,1,1,0,0,1,24,13,14,7,23
15-Jul-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,9,117,11.5,3,7,2,3,0,1,0,1,27,25,16,10,30
15-Jul-17 Morphettville Parks,Morphettville Parks,Metro,SA,8,68,7,1,7,6,0,0,1,0,1,15,12,4,1,28
15-Jul-17 Cowra,Cowra,Country,NSW,6,65,6.5,3,7,2,0,1,0,0,1,11,20,4,2,22
15-Jul-17 Townsville,Townsville,Provincial,QLD,7,83,8.5,4,7,1,2,0,0,0,0,19,9,20,6,22
15-Jul-17 Port Macquarie,Port Macquarie,Country,NSW,6,62,6,2,7,3,1,0,0,0,0,15,5,10,6,20
15-Jul-17 Darwin,Darwin,Metro,NT,7,62,6,3,7,1,3,0,0,0,0,18,8,7,0,22
15-Jul-17 Belmont,Belmont,Provincial,WA,8,81,8,4,7,2,2,0,0,0,0,28,15,5,6,19
15-Jul-17 Broome,Broome,Country,WA,7,68,7,3,7,4,0,0,0,0,0,19,9,8,0,25
16-Jul-17 Geelong,Geelong,Country,VIC,10,127,12.5,4,1,3,2,1,0,0,1,26,23,20,16,32
16-Jul-17 Devonport Synthetic,Devonport Synthetic,Metro,TAS,8,84,8.5,2,1,3,2,1,0,0,1,15,16,11,5,29
16-Jul-17 Hawkesbury,Hawkesbury,Provincial,NSW,8,66,6.5,3,1,4,1,0,0,0,0,15,8,8,2,25
16-Jul-17 Murray Bridge,Murray Bridge,Provincial,SA,8,74,7.5,2,1,5,1,0,0,0,0,21,9,9,7,20
16-Jul-17 Grafton,Grafton,Country,NSW,7,81,8,1,1,1,2,3,0,0,3,19,20,9,4,22
16-Jul-17 Toowoomba,Toowoomba,Provincial,QLD,7,76,7.5,4,1,3,0,0,0,0,0,16,9,13,9,22
16-Jul-17 Alice Springs,Alice Springs,Provincial,NT,5,34,3.5,4,1,1,0,0,0,0,0,7,3,0,0,19
16-Jul-17 Kalgoorlie,Kalgoorlie,Provincial,WA,7,64,6.5,3,1,3,1,0,0,0,0,13,10,10,2,22
17-Jul-17 Moruya,Moruya,Country,NSW,7,74,7.5,1,2,3,2,1,0,0,1,17,10,11,6,23
17-Jul-17 Mildura,Mildura,Country,VIC,8,86,8.5,1,2,4,3,0,0,0,0,14,13,18,10,23
17-Jul-17 Cessnock,Cessnock,Country,NSW,7,76,7.5,2,2,5,0,0,0,0,0,22,15,13,4,15
18-Jul-17 Geelong Synthetic,Geelong Synthetic,Country,VIC,9,97,9.5,3,3,3,2,0,1,0,1,18,18,13,8,31
18-Jul-17 Wagga,Wagga,Country,NSW,8,78,8,1,3,5,0,2,0,0,2,21,11,8,4,26
18-Jul-17 Ballina,Ballina,Country,NSW,7,80,8,4,3,3,0,0,0,0,0,16,15,11,9,22
18-Jul-17 Cairns,Cairns,Provincial,QLD,7,78,8,1,3,3,3,0,0,0,0,18,11,10,2,30
19-Jul-17 Doomben,Doomben,Metro,QLD,9,82,8,3,4,5,1,0,0,0,0,16,12,7,9,29
19-Jul-17 Sandown Hillside,Sandown Hillside,Metro,VIC,8,86,8.5,1,4,5,1,1,0,0,1,13,15,8,9,33
19-Jul-17 Warwick Farm,Warwick Farm,Metro,NSW,7,70,7,5,4,1,1,0,0,0,0,19,15,6,1,22
19-Jul-17 Belmont,Belmont,Provincial,WA,8,80,8,3,4,5,0,0,0,0,0,27,8,10,9,18
19-Jul-17 Darwin,Darwin,Metro,NT,6,62,6,1,4,4,0,1,0,0,1,15,15,3,5,18
20-Jul-17 Gosford,Gosford,Provincial,NSW,8,64,6.5,2,5,6,0,0,0,0,0,11,4,8,5,28
20-Jul-17 Rockhampton,Rockhampton,Provincial,QLD,7,61,6,3,5,2,0,1,1,0,2,13,11,7,5,18
20-Jul-17 Sale,Sale,Country,VIC,8,100,10,4,5,1,2,1,0,0,1,26,23,14,5,24
20-Jul-17 Moree,Moree,Country,NSW,7,94,9.5,3,5,3,0,1,0,0,1,25,18,15,12,17
20-Jul-17 Northam,Northam,Provincial,WA,7,70,7,2,5,5,0,0,0,0,0,14,8,11,8,22
21-Jul-17 Taree,Taree,Country,NSW,8,86,8.5,4,6,2,1,1,0,0,1,20,15,13,5,25
21-Jul-17 Dubbo,Dubbo,Country,NSW,8,88,9,4,6,2,2,0,0,0,0,16,17,18,5,24
21-Jul-17 Geelong Synthetic,Geelong Synthetic,Country,VIC,8,75,7.5,1,6,6,0,0,1,0,1,21,8,5,4,29
21-Jul-17 Ipswich,Ipswich,Provincial,QLD,7,66,6.5,3,6,3,1,0,0,0,0,14,14,7,3,21
21-Jul-17 Gawler,Gawler,Metro,SA,8,58,6,3,6,2,2,1,0,0,1,15,7,4,1,23
22-Jul-17 Wodonga,Wodonga,Country,VIC,10,110,11,4,7,3,1,0,0,2,2,33,12,15,3,37
22-Jul-17 Randwick,Randwick,Metro,NSW,9,77,7.5,3,7,4,1,1,0,0,1,20,10,6,2,30
22-Jul-17 Doomben,Doomben,Metro,QLD,9,101,10,4,7,4,1,0,0,0,0,26,18,16,4,28
22-Jul-17 Flemington,Flemington,Metro,VIC,9,94,9.5,2,7,5,1,1,0,0,1,17,22,11,6,29
22-Jul-17 Kembla Grange,Kembla Grange,Provincial,NSW,8,78,8,5,7,3,0,0,0,0,0,17,11,9,7,26
22-Jul-17 Gold Coast,Gold Coast,Metro,QLD,8,81,8,4,7,4,0,0,0,0,0,27,8,10,3,25
22-Jul-17 Townsville,Townsville,Provincial,QLD,7,82,8,0,7,3,4,0,0,0,0,25,16,8,4,22
22-Jul-17 Morphettville Parks,Morphettville Parks,Metro,SA,8,89,9,3,7,1,4,0,0,0,0,28,17,6,1,29
22-Jul-17 Lismore,Lismore,Country,NSW,6,71,7,1,7,1,3,1,0,0,1,20,8,13,3,21
22-Jul-17 Darwin,Darwin,Metro,NT,7,55,5.5,6,7,1,0,0,0,0,0,12,11,3,0,22
22-Jul-17 Belmont,Belmont,Provincial,WA,8,84,8.5,1,7,5,2,0,0,0,0,27,9,10,8,22
22-Jul-17 Carnarvon,Carnarvon,Country,WA,6,44,4.5,1,7,3,1,1,0,0,1,7,7,3,1,20
22-Jul-17 Toowoomba,Toowoomba,Provincial,QLD,7,53,5.5,4,7,3,0,0,0,0,0,6,11,5,3,21
23-Jul-17 Bendigo,Bendigo,Country,VIC,9,89,9,2,1,5,2,0,0,0,0,19,11,9,13,28
23-Jul-17 Narrandera,Narrandera,Country,NSW,9,95,9.5,2,1,4,2,0,1,0,1,21,14,13,6,32
23-Jul-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,8,76,7.5,3,1,3,0,2,0,0,2,20,9,9,6,24
23-Jul-17 Coffs Harbour,Coffs Harbour,Country,NSW,7,81,8,2,1,3,0,1,1,0,2,16,17,13,7,21
23-Jul-17 Port Augusta,Port Augusta,Country,SA,7,53,5.5,1,1,4,2,0,0,0,0,10,7,8,0,21
23-Jul-17 Kalgoorlie,Kalgoorlie,Provincial,WA,7,64,6.5,1,1,6,0,0,0,0,0,15,8,6,1,27
24-Jul-17 Goulburn,Goulburn,Country,NSW,7,62,6,1,2,3,2,1,0,0,1,18,8,8,3,18
24-Jul-17 Scone,Scone,Country,NSW,7,69,7,4,2,2,1,0,0,0,0,14,12,8,4,24
24-Jul-17 Swan Hill,Swan Hill,Country,VIC,8,96,9.5,2,2,3,3,0,0,0,0,29,17,6,9,27
25-Jul-17 Wyong,Wyong,Provincial,NSW,8,69,7,5,3,2,1,0,0,0,0,12,12,7,6,24
25-Jul-17 Warren,Warren,Country,NSW,8,95,9.5,2,3,3,1,1,1,0,2,16,19,15,8,29
25-Jul-17 Bairnsdale,Bairnsdale,Country,VIC,8,74,7.5,1,3,4,2,1,0,0,1,22,7,8,5,24
26-Jul-17 Ipswich,Ipswich,Provincial,QLD,8,70,7,3,4,5,0,0,0,0,0,18,6,7,2,29
26-Jul-17 Murray Bridge,Murray Bridge,Provincial,SA,8,85,8.5,1,4,7,0,0,0,0,0,19,15,12,2,29
26-Jul-17 Sandown Hillside,Sandown Hillside,Metro,VIC,8,110,11,1,4,5,2,0,0,0,0,28,18,19,9,28
26-Jul-17 Canterbury,Canterbury,Metro,NSW,7,68,7,4,4,2,0,1,0,0,1,18,17,7,1,18
26-Jul-17 Belmont,Belmont,Provincial,WA,8,86,8.5,5,4,1,2,0,0,0,0,25,10,10,9,24
27-Jul-17 Echuca,Echuca,Country,VIC,10,108,11,5,5,2,2,1,0,0,1,26,19,15,8,30
27-Jul-17 Newcastle B,Newcastle B,Country,NSW,7,53,5.5,3,5,3,1,0,0,0,0,11,5,10,4,16
27-Jul-17 Townsville,Townsville,Provincial,QLD,7,85,8.5,2,5,4,0,1,0,0,1,12,13,12,14,27
27-Jul-17 Pinjarra,Pinjarra,Provincial,WA,8,82,8,3,5,3,0,2,0,0,2,17,18,12,5,22
28-Jul-17 Gatton,Gatton,Provincial,QLD,9,92,9,4,6,3,2,0,0,0,0,22,15,13,3,30
28-Jul-17 Geelong Synthetic,Geelong Synthetic,Country,VIC,10,118,12,5,6,2,1,1,1,0,2,36,21,18,3,30
28-Jul-17 Canberra,Canberra,Country,ACT,8,83,8.5,2,6,5,1,0,0,0,0,23,9,12,8,23
28-Jul-17 Ballina,Ballina,Country,NSW,8,91,9,5,6,3,0,0,0,0,0,21,18,18,4,22
28-Jul-17 Broome,Broome,Country,WA,7,61,6,4,6,2,1,0,0,0,0,17,9,8,0,20
29-Jul-17 Doomben,Doomben,Metro,QLD,10,124,12.5,3,7,3,4,0,0,0,0,45,19,21,4,25
29-Jul-17 Rosehill,Rosehill,Metro,NSW,9,94,9.5,4,7,4,1,0,0,0,0,28,9,11,5,32
29-Jul-17 Caulfield,Caulfield,Metro,VIC,9,93,9.5,2,7,3,2,0,1,1,2,37,6,12,8,21
29-Jul-17 Gosford,Gosford,Provincial,NSW,8,56,5.5,3,7,4,0,1,0,0,1,8,10,4,5,21
29-Jul-17 Townsville,Townsville,Provincial,QLD,8,109,11,2,7,5,1,0,0,0,0,31,24,15,7,24
29-Jul-17 Morphettville,Morphettville,Metro,SA,8,89,9,2,7,5,1,0,0,0,0,18,12,13,10,28
29-Jul-17 Coonabarabran,Coonabarabran,Country,NSW,6,84,8.5,0,7,4,1,0,1,0,1,16,16,13,13,20
29-Jul-17 Belmont,Belmont,Provincial,WA,8,78,8,4,7,3,0,1,0,0,1,16,9,11,8,26
30-Jul-17 Pakenham Synthetic,Pakenham Synthetic,Country,VIC,9,95,9.5,3,1,5,1,0,0,0,0,21,16,19,5,25
30-Jul-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,8,85,8.5,4,1,3,1,0,0,0,0,20,17,11,8,21
30-Jul-17 Tamworth,Tamworth,Country,NSW,8,95,9.5,1,1,3,3,0,1,0,1,28,13,11,7,28
30-Jul-17 Sapphire Coast,Sapphire Coast,Country,NSW,7,64,6.5,1,1,5,1,0,0,0,0,15,7,10,4,21
30-Jul-17 Gawler,Gawler,Metro,SA,7,62,6,1,1,3,3,0,0,0,0,11,13,7,2,22
30-Jul-17 Kalgoorlie,Kalgoorlie,Provincial,WA,7,59,6,1,1,6,0,0,0,0,0,8,7,6,5,26
31-Jul-17 Mildura,Mildura,Country,VIC,8,88,9,4,2,2,2,0,0,0,0,15,10,14,13,28
31-Jul-17 Port Macquarie,Port Macquarie,Country,NSW,7,73,7.5,1,2,4,1,1,0,0,1,13,9,11,11,22
31-Jul-17 Dubbo,Dubbo,Country,NSW,7,71,7,3,2,2,2,0,0,0,0,15,9,18,4,18
1-Aug-17 Warrnambool,Warrnambool,Country,VIC,9,96,9.5,3,3,4,2,0,0,0,0,17,18,17,8,27
1-Aug-17 Wagga,Wagga,Country,NSW,7,78,8,2,3,3,2,0,0,0,0,19,10,9,4,29
1-Aug-17 Cessnock,Cessnock,Country,NSW,7,75,7.5,3,3,3,1,0,0,0,0,15,9,11,11,22
1-Aug-17 Mackay,Mackay,Provincial,QLD,7,60,6,1,3,5,1,0,0,0,0,17,9,5,1,21
2-Aug-17 Sale,Sale,Country,VIC,8,79,8,4,4,3,1,0,0,0,0,18,9,16,5,23
2-Aug-17 Gold Coast,Gold Coast,Metro,QLD,8,72,7,3,4,3,1,1,0,0,1,18,8,8,6,24
2-Aug-17 Morphettville,Morphettville,Metro,SA,8,75,7.5,2,4,4,1,1,0,0,1,21,9,7,5,25
2-Aug-17 Warwick Farm,Warwick Farm,Metro,NSW,7,73,7.5,2,4,4,1,0,0,0,0,20,12,4,4,26
2-Aug-17 Darwin,Darwin,Metro,NT,6,48,5,2,4,2,2,0,0,0,0,17,7,1,2,15
2-Aug-17 Belmont,Belmont,Provincial,WA,8,79,8,2,4,6,0,0,0,0,0,22,11,11,4,23
3-Aug-17 Coffs Harbour,Coffs Harbour,Country,NSW,8,102,10,2,5,3,2,1,0,0,1,33,19,11,8,23
3-Aug-17 Hawkesbury,Hawkesbury,Provincial,NSW,8,70,7,3,5,3,1,0,0,1,1,13,7,10,5,27
3-Aug-17 Pakenham Synthetic,Pakenham Synthetic,Country,VIC,7,62,6,1,5,5,1,0,0,0,0,9,8,7,6,25
3-Aug-17 Rockhampton,Rockhampton,Provincial,QLD,7,58,6,3,5,3,1,0,0,0,0,13,9,3,2,24
3-Aug-17 Northam,Northam,Provincial,WA,7,65,6.5,4,5,2,0,1,0,0,1,14,6,10,6,22
4-Aug-17 Warracknabeal,Warracknabeal,Country,VIC,10,108,11,3,6,3,3,0,1,0,1,30,15,13,7,33
4-Aug-17 Goulburn,Goulburn,Country,NSW,8,47,4.5,2,6,2,3,1,0,0,1,11,2,2,0,24
4-Aug-17 Wyong,Wyong,Provincial,NSW,8,62,6,3,6,3,1,1,0,0,1,15,7,7,5,20
4-Aug-17 Ipswich,Ipswich,Provincial,QLD,7,66,6.5,3,6,1,2,0,1,0,1,13,8,14,2,22
4-Aug-17 Carnarvon,Carnarvon,Country,WA,5,41,4,1,6,4,0,0,0,0,0,9,6,2,0,19
5-Aug-17 Doomben,Doomben,Metro,QLD,9,77,7.5,3,7,5,1,0,0,0,0,16,4,10,4,34
5-Aug-17 Flemington,Flemington,Metro,VIC,10,111,11,2,7,6,0,1,0,1,2,34,12,12,13,30
5-Aug-17 Randwick,Randwick,Metro,NSW,9,86,8.5,4,7,2,2,1,0,0,1,24,17,8,2,26
5-Aug-17 Kembla Grange,Kembla Grange,Provincial,NSW,8,54,5.5,3,7,5,0,0,0,0,0,16,5,3,3,19
5-Aug-17 Gold Coast,Gold Coast,Metro,QLD,8,80,8,3,7,3,1,1,0,0,1,11,14,9,4,34
5-Aug-17 Morphettville Parks,Morphettville Parks,Metro,SA,8,65,6.5,3,7,4,1,0,0,0,0,16,6,4,3,28
5-Aug-17 Moe,Moe,Country,VIC,7,88,9,3,7,2,2,0,0,0,0,25,12,14,5,25
5-Aug-17 Cairns,Cairns,Provincial,QLD,7,75,7.5,3,7,3,1,0,0,0,0,23,13,9,2,21
5-Aug-17 Kempsey,Kempsey,Country,NSW,6,60,6,2,7,3,0,1,0,0,1,22,5,7,5,15
5-Aug-17 Darwin,Darwin,Metro,NT,7,57,5.5,1,7,4,2,0,0,0,0,14,3,7,0,26
5-Aug-17 Belmont,Belmont,Provincial,WA,8,83,8.5,3,7,3,2,0,0,0,0,19,18,8,4,26
5-Aug-17 Broome,Broome,Country,WA,7,50,5,5,7,2,0,0,0,0,0,12,6,5,1,19
5-Aug-17 Toowoomba,Toowoomba,Provincial,QLD,7,62,6,1,7,3,2,1,0,0,1,16,11,6,5,17
6-Aug-17 Devonport Synthetic,Devonport Synthetic,Metro,TAS,8,76,7.5,4,1,3,1,0,0,0,0,19,12,10,2,25
6-Aug-17 Sandown Lakeside,Sandown Lakeside,Metro,VIC,9,94,9.5,4,1,4,0,0,1,0,1,30,14,10,2,29
6-Aug-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,9,85,8.5,7,1,2,0,0,0,0,0,23,12,10,6,25
6-Aug-17 Muswellbrook,Muswellbrook,Country,NSW,7,78,8,4,1,3,0,0,0,0,0,16,11,12,7,25
6-Aug-17 Kalgoorlie,Kalgoorlie,Provincial,WA,7,61,6,3,1,3,0,1,0,0,1,11,13,5,0,25
6-Aug-17 Port Hedland,Port Hedland,Country,WA,7,49,5,2,1,3,1,1,0,0,1,16,4,1,0,21
7-Aug-17 Swan Hill,Swan Hill,Country,VIC,10,105,10.5,2,2,6,2,0,0,0,0,23,19,19,2,32
7-Aug-17 Forbes,Forbes,Country,NSW,8,95,9.5,2,2,2,3,1,0,0,1,19,19,15,10,24
7-Aug-17 Darwin,Darwin,Metro,NT,9,84,8.5,4,2,5,0,0,0,0,0,20,15,9,3,28
8-Aug-17 Moruya,Moruya,Country,NSW,7,61,6,3,3,4,0,0,0,0,0,14,8,6,1,25
8-Aug-17 Pakenham Synthetic,Pakenham Synthetic,Country,VIC,8,76,7.5,3,3,5,0,0,0,0,0,17,9,8,7,27
8-Aug-17 Scone,Scone,Country,NSW,7,72,7,3,3,2,0,2,0,0,2,19,11,11,6,18
